rxn05154:	['']
rxn00727:	['"KEGG:R00986"']
rxn05161:	['']
rxn05168:	['']
rxn05155:	['']
rxn05201:	['']
rxn02831:	['"KEGG:R04030"']
rxn08669:	['']
rxn05156:	['']
rxn05164:	['']
rxn09450:	['']
rxn09449:	['']
rxn09448:	['']
rxn05736:	['']
rxn00947:	['"KEGG:R01280"']
rxn13892:	['']
rxn08002:	['']
rxn05349:	['"KEGG:R01624"']
rxn00187:	['"KEGG:R00253"']
rxn05331:	['"KEGG:R04965"']
rxn05333:	['"KEGG:R04535"']
rxn08306:	['']
rxn08307:	['']
rxn08308:	['']
rxn08310:	['']
rxn08311:	['']
rxn08312:	['']
rxn10481:	['']
rxn01629:	['"KEGG:R02272"']
rxn00986:	['"KEGG:R01354"']
rxn00675:	['"KEGG:R00926"']
rxn05206:	['']
rxn02911:	['"KEGG:R04170"']
rxn03240:	['"KEGG:R04738"']
rxn03241:	['"KEGG:R04740"']
rxn03245:	['"KEGG:R04744"']
rxn03250:	['"KEGG:R04749"']
rxn03247:	['"KEGG:R04746"']
rxn05165:	['']
rxn05181:	['']
rxn02160:	['"KEGG:R03013"']
rxn01964:	['"KEGG:R02722"']
rxn00416:	['"KEGG:R00578"']
rxn05651:	['']
rxn05564:	['']
rxn01192:	['"KEGG:R01631"']
rxn12206:	['"KEGG:R09483"']
rxn00874:	['"KEGG:R01177"']
rxn02483:	['"KEGG:R03470"']
rxn01827:	['"KEGG:R02521"']
rxn03393:	['"KEGG:R04986"']
rxn05176:	['']
rxn05153:	['']
rxn00858:	['"KEGG:R01157"']
rxn05237:	['']
rxn09657:	['']
rxn05202:	['']
rxn05682:	['']
rxn05312:	['']
rxn05527:	['']
rxn05318:	['']
rxn05198:	['']
rxn05317:	['']
rxn05205:	['']
rxn05316:	['']
rxn05200:	['']
rxn05199:	['']
rxn09688:	['']
rxn09687:	['']
rxn09685:	['']
rxn02287:	['"KEGG:R03194"']
rxn00567:	['"KEGG:R00783"']
rxn04092:	['"KEGG:R05861"']
rxn08550:	['']
rxn08552:	['']
rxn02503:	['"KEGG:R03503"']
rxn00256:	['"KEGG:R00351"']
rxn00225:	['"KEGG:R00315"']
rxn00799:	['"KEGG:R01082"']
rxn05663:	['']
rxn00806:	['"KEGG:R01090"']
rxn00493:	['"KEGG:R00694"']
rxn05108:	['"KEGG:R07396"']
rxn03004:	['"KEGG:R04325"']
rxn01644:	['"KEGG:R02292"']
rxn04093:	['"KEGG:R05862"']
rxn05179:	['']
rxn10170:	['']
rxn05169:	['']
rxn01352:	['"KEGG:R01856"']
rxn09016:	['']
rxn05231:	['"KEGG:R02017"']
rxn06076:	['"KEGG:R02024"']
rxn05233:	['"KEGG:R02019"']
rxn06075:	['"KEGG:R02018"']
rxn12498:	['']
rxn05561:	['']
rxn10154:	['']
rxn00902:	['"KEGG:R01213"']
rxn00269:	['"KEGG:R00366"']
rxn03541:	['"KEGG:R05226"']
rxn10113:	['']
rxn05152:	['']
rxn05146:	['']
rxn08861:	['"KEGG:R09482"']
rxn00394:	['"KEGG:R00551"']
rxn05197:	['']
rxn01225:	['"KEGG:R01676"']
rxn08527:	['']
rxn01732:	['"KEGG:R02405"']
rxn00285:	['"KEGG:R00405"']
rxn05334:	['"KEGG:R04537"']
rxn05329:	['"KEGG:R04428"']
rxn05330:	['"KEGG:R04954"']
rxn10168:	['']
rxn02276:	['"KEGG:R03181"']
rxn01332:	['"KEGG:R01826"']
rxn01388:	['"KEGG:R01900"']
rxn00974:	['"KEGG:R01325"']
rxn00973:	['"KEGG:R01324"']
rxn02177:	['"KEGG:R03037"']
rxn05160:	['']
rxn05549:	['']
rxn05167:	['']
rxn05173:	['']
rxn02143:	['"KEGG:R02990"']
rxn02889:	['"KEGG:R04138"']
rxn05649:	['']
rxn05307:	['']
rxn05300:	['']
rxn13811:	['']
rxn00649:	['"KEGG:R00897"']
rxn08229:	['']
rxn08230:	['']
rxn08231:	['']
rxn08232:	['']
rxn00065:	['"KEGG:R00089"']
rxn00342:	['"KEGG:R00485"']
rxn05171:	['']
rxn05608:	['']
rxn05614:	['']
rxn05613:	['']
rxn05149:	['']
rxn06600:	['"KEGG:R04125"']
rxn00165:	['"KEGG:R00220"']
rxn06377:	['"KEGG:R03425"']
rxn13681:	['']
rxn00175:	['"KEGG:R00235"']
rxn05151:	['']
rxn06216:	['"KEGG:R02685"']
rxn01199:	['"KEGG:R01639"']
rxn08556:	['']
rxn02789:	['"KEGG:R03968"']
rxn02811:	['"KEGG:R04001"']
rxn03884:	['"KEGG:R05605"']
rxn00214:	['"KEGG:R00291"']
rxn03135:	['"KEGG:R04558"']
rxn00980:	['"KEGG:R01334"']
rxn01639:	['"KEGG:R02285"']
rxn10174:	['']
rxn05158:	['']
rxn05147:	['']
rxn00299:	['"KEGG:R00424"']
rxn08900:	['']
rxn05215:	['']
rxn01834:	['"KEGG:R02530"']
rxn01019:	['"KEGG:R01398"']
rxn05560:	['']
rxn00615:	['"KEGG:R00847"']
rxn00533:	['"KEGG:R00742"']
rxn05332:	['"KEGG:R04544"']
rxn05335:	['"KEGG:R04568"']
rxn07980:	['']
rxn08309:	['']
rxn05528:	['']
rxn05485:	['']
rxn05209:	['']
rxn05582:	['']
rxn05172:	['']
rxn00539:	['"KEGG:R00749"']
rxn00300:	['"KEGG:R00425"']
rxn00048:	['"KEGG:R00066"']
rxn06280:	['"KEGG:R02918"']
rxn13823:	['']
rxn13801:	['"KEGG:R08956"']
rxn00006:	['"KEGG:R00009"']
rxn00691:	['"KEGG:R00944"']
rxn00148:	['"KEGG:R00200"']
rxn00206:	['"KEGG:R00275"']
rxn02305:	['"KEGG:R03223"']
rxn13689:	['']
rxn09240:	['']
rxn02320:	['"KEGG:R03243"']
rxn05174:	['']
rxn05533:	['']
rxn05540:	['']
rxn05541:	['']
rxn05542:	['']
rxn05543:	['']
rxn05544:	['']
rxn05545:	['']
rxn05539:	['']
rxn05546:	['']
rxn05537:	['']
rxn05547:	['']
rxn05534:	['']
